year,month,percentage_gravity
2013,1,6.666666666666666
2013,2,8.627450980392156
2013,3,14.901960784313725
2013,4,9.019607843137254
2013,5,11.764705882352941
2013,6,9.803921568627450
2013,7,7.058823529411764
2013,8,7.843137254901960
2013,9,11.372549019607843
2013,10,5.490196078431372
2013,11,3.921568627450980
2013,12,3.529411764705882
2014,1,6.478454680534918
2014,2,4.675581971272907
2014,3,7.082714214957899
2014,4,6.369489846458642
2014,5,7.350173353145121
2014,6,7.161961367013372
2014,7,6.706290242694403
2014,8,7.756315007429420
2014,9,7.082714214957899
2014,10,8.320950965824665
2014,11,7.350173353145121
2014,12,23.665180782565626
2015,1,7.659893490512383
2015,2,6.057080812781138
2015,3,8.435448011995243
2015,4,8.541440463264567
2015,5,9.229098805646036
2015,6,7.758130396566878
2015,7,9.177395170880512
2015,8,9.017113903107388
2015,9,8.368233286800062
2015,10,8.869758544025645
2015,11,7.933922754769660
2015,12,8.952484359650483
2016,1,6.755212018942899
2016,2,6.325186435142343
2016,3,7.383013082212908
2016,4,6.628200243136827
2016,5,6.706221762560557
2016,6,7.234227859125796
2016,7,7.259630214287010
2016,8,10.759711864714314
2016,9,9.876072795892076
2016,10,9.328107705985883
2016,11,9.837969263150254
2016,12,11.906446754849128
2017,1,9.257470072579885
2017,2,8.116929022528042
2017,3,8.698981996418135
2017,4,8.330191346969554
2017,5,9.022999340182863
2017,6,8.823875954378357
2017,7,9.270430766330474
2017,8,7.842397963992836
2017,9,7.109529644641342
2017,10,7.940192289565463
2017,11,7.933122820246960
2017,12,7.653878782166085
2018,1,39.868301300926173
2018,2,31.248996198939986
2018,3,28.882702500133840
